Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
ABERDEEN,ABERDEEN,ME14,FREDA ANN,C18410,24602,NON-SECTOR,7.25,2.33,75,55.862,2005,F,GBR,Y,N
ABERDEEN,ABERDEEN,AH717,PATHFINDER,C19296,33083,NON-SECTOR,7.39,1.81,45,37.025,2004,F,GBR,Y,N
ABERDEEN,GOURDON,ME110,HARVEST TRIUMPH,A12780,33320,NON-SECTOR,7.52,3.14,21,31.183,1976,W,GBR,Y,N
ABERDEEN,GOURDON,ME56,BOY DANE,A12760,33315,NON-SECTOR,7.6,2.42,63,49.25,1980,F,GBR,Y,N
ABERDEEN,ABERDEEN,ME7,BLUEFIN,C18048,31433,NON-SECTOR,7.6,1.79,89.5,58.211,2003,F,GBR,Y,N
ABERDEEN,GOURDON,ME15,MARNIK,A21811,33564,NON-SECTOR,7.62,3.35,22,30.322,1976,W,GBR,Y,N
ABERDEEN,ARBROATH,AH153,FORTUNA II,A10212,33019,NON-SECTOR,7.62,2.49,55.95,45.828,1970,W,GBR,Y,N
ABERDEEN,ARBROATH,AH39,GOOD FRIEND,A10160,33016,NON-SECTOR,7.69,3.71,35,37.051,1981,W,GBR,Y,N
ABERDEEN,MONTROSE,ME122,JENNA,C18712,60194,NON-SECTOR,7.88,1.82,27,33.899,1996,F,GBR,Y,N
ABERDEEN,ABERDEEN,ME69,ROTTEN SHAMBLE,C19025,30233,NON-SECTOR,7.93,3.57,92.3,73.572,2007,F,GBR,Y,N
ABERDEEN,ABERDEEN,BCK50,COURAGE II,B11229,33674,NON-SECTOR,8.02,3.82,19.11,30.414,1980,F,GBR,Y,N
ABERDEEN,ABERDEEN,A17,SKUA II,C18278,60103,NON-SECTOR,8.27,6.61,91,69.233,2002,F,GBR,Y,N
ABERDEEN,ABERDEEN,AH35,OSPREY,C19526,33321,NON-SECTOR,8.32,5.72,80,64.288,2008,F,GBR,Y,N
ABERDEEN,ABERDEEN,AH2,LICHTIE LASS,C19484,24571,NON-SECTOR,8.33,6.06,96,71.522,2008,F,GBR,Y,N
ABERDEEN,ARBROATH,AH708,HARMONY,A14665,33523,NON-SECTOR,8.5,4.63,59,53.07,1980,F,GBR,Y,N
ABERDEEN,ARBROATH,AH24,ASPIRE,A11388,31109,NON-SECTOR,8.54,4.92,65,57.859,1980,W,GBR,Y,N
ABERDEEN,ARBROATH,AH95,DAY DAWN,A10194,33018,NON-SECTOR,8.72,5.67,33,39.004,1947,W,GBR,Y,N
ABERDEEN,ARBROATH,AH63,REIVER II,A15140,20207,NON-SECTOR,8.84,7.1,59,58.197,1983,F,GBR,Y,N
ABERDEEN,MEVAGISSEY,AH714,GRETAS GIRL,C16871,23632,NON-SECTOR,8.94,3.88,174.56,110.289,1999,F,GBR,Y,N
ABERDEEN,HARTLEPOOL,AH20,LADY ANNE,A18022,20771,NON-SECTOR,9.2,6.77,97,77.23,1979,F,GBR,Y,N
